"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 02 13:36:21 IST 2021","Thu Dec 02 13:36:29 IST 2021","8557","SuiteDesktop","CalculatorTest","testcases.CalculatorTestCases","testcases.CalculatorTestCases","test01_calc","Calculation","Performing a number of operations on a calculator"
"passed","Thu Dec 02 13:35:16 IST 2021","Thu Dec 02 13:35:27 IST 2021","11226","SuiteElectron","ToDoLIstTest","testcases.ToDoLIstTestCases","testcases.ToDoLIstTestCases","test01_create","Create Task ","create task to list"
"passed","Thu Dec 02 10:08:02 IST 2021","Thu Dec 02 10:08:02 IST 2021","70","SuiteAPI","GrafanaApiTest","testcases.GrafanaApiTestCases","testcases.GrafanaApiTestCases","test02_update","Update","update password for user"
"passed","Thu Dec 02 13:37:16 IST 2021","Thu Dec 02 13:37:17 IST 2021","191","SuiteAPI","GrafanaApiTest","testcases.GrafanaApiTestCases","testcases.GrafanaApiTestCases","test03_delete","Delete","delete user by id from grafana"
"passed","Thu Dec 02 13:37:06 IST 2021","Thu Dec 02 13:37:10 IST 2021","3834","SuiteAPI","GrafanaApiTest","testcases.GrafanaApiTestCases","testcases.GrafanaApiTestCases","test01_post","Create User","create user and add to grafana"
"passed","Thu Dec 02 13:37:13 IST 2021","Thu Dec 02 13:37:13 IST 2021","60","SuiteAPI","GrafanaApiTest","testcases.GrafanaApiTestCases","testcases.GrafanaApiTestCases","test02_update","Update","update password for user"
"passed","Thu Dec 02 13:35:30 IST 2021","Thu Dec 02 13:35:33 IST 2021","3236","SuiteElectron","ToDoLIstTest","testcases.ToDoLIstTestCases","testcases.ToDoLIstTestCases","test02_complete","Complete Task ","mark a completed task"
"passed","Thu Dec 02 10:07:55 IST 2021","Thu Dec 02 10:07:59 IST 2021","3839","SuiteAPI","GrafanaApiTest","testcases.GrafanaApiTestCases","testcases.GrafanaApiTestCases","test01_post","Create User","create user and add to grafana"
"passed","Thu Dec 02 10:08:05 IST 2021","Thu Dec 02 10:08:05 IST 2021","168","SuiteAPI","GrafanaApiTest","testcases.GrafanaApiTestCases","testcases.GrafanaApiTestCases","test03_delete","Delete","delete user by id from grafana"
"passed","Thu Dec 02 13:35:36 IST 2021","Thu Dec 02 13:35:50 IST 2021","13266","SuiteElectron","ToDoLIstTest","testcases.ToDoLIstTestCases","testcases.ToDoLIstTestCases","test03_delete","Delete Task ","delete task from a list"
